Array Length, Average Time
1000,1043
1050,110
1100,77
1150,60
1200,73
1250,130
1300,129
1350,142
1400,154
1450,155
1500,165
1550,606
1600,152
1650,183
1700,202
1750,124
1800,115
1850,63
1900,33
1950,31
2000,38
2050,31
2100,33
2150,34
2200,36
2250,38
2300,39
2350,40
2400,42
2450,42
2500,44
2550,45
2600,47
2650,49
2700,49
2750,50
2800,52
2850,53
2900,55
2950,56
3000,57
3050,59
3100,58
3150,59
3200,59
3250,60
3300,61
3350,103
3400,61
3450,60
3500,64
3550,62
3600,63
3650,63
3700,64
3750,65
3800,65
3850,63
3900,66
3950,63
4000,108
4050,117
4100,65
4150,116
4200,112
4250,70
4300,71
4350,71
4400,74
4450,74
4500,75
4550,78
4600,78
4650,80
4700,81
4750,82
4800,86
4850,134
4900,87
4950,89
5000,89
5050,92
5100,93
5150,161
5200,153
5250,173
5300,175
5350,101
5400,100
5450,101
5500,102
5550,106
5600,106
5650,109
5700,107
5750,111
5800,77
5850,78
5900,80
5950,80
6000,86
6050,81
6100,82
6150,83
6200,83
6250,84
6300,84
6350,84
6400,84
6450,86
6500,86
6550,102
6600,86
6650,87
6700,2221
6750,91
6800,88
6850,89
6900,90
6950,90
7000,91
7050,91
7100,92
7150,93
7200,93
7250,93
7300,93
7350,95
7400,95
7450,95
7500,96
7550,95
7600,96
7650,99
7700,99
7750,98
7800,98
7850,99
7900,100
7950,99
8000,100
8050,101
8100,102
8150,103
8200,102
8250,104
8300,104
8350,105
8400,106
8450,106
8500,107
8550,109
8600,109
8650,110
8700,111
8750,111
8800,112
8850,112
8900,114
8950,114
9000,115
9050,137
9100,116
9150,117
9200,118
9250,118
9300,119
9350,120
9400,121
9450,122
9500,122
9550,123
9600,124
9650,124
9700,127
9750,128
9800,129
9850,129
9900,131
9950,131
10000,131
